"id","name","description","production_year","technique","width","height","media","framing","quote","path","orientation","position","homepage_flag","artist_id","created_at","updated_at"
1,"Mont fuji","Photo prise au pied du Mont Fuji","2023-11-12","Argentique",15,11,"papier brillant",False,"Celui qui gravit le Mont Fuji une fois est sage","https://picsum.photos/seed/picsum/200/300","paysage",4,False,1,"2024-02-13 12:30:09.042705+00",NULL
2,"Victor Hugo","Portrait de Victor Hugo","2022-11-08","Aquarelle",50,80,"toile",True,"Je ne suis rien, je le sais","https://picsum.photos/seed/picsum/200/300","portrait",1,False,2,"2024-02-13 12:30:09.042705+00",NULL
3,"Rochelle Flatley","photo de Rochelle Flatley","2020-08-11","Sepia",70,90,"papier mat",True,"Je ne suis rien, je le sais","https://media.istockphoto.com/id/496619649/fr/photo/beaut%C3%A9-asiatique.jpg?s=2048x2048&w=is&k=20&c=-czWG2a8ohzEgBDXXujSNFWvM0W8LBinsp8Iy2fX1oo=","portrait",1,True,1,"2024-02-13 12:30:09.042705+00",NULL
4,"Wilbert Powlowski","photo de Wilbert Powlowski","2021-09-19","numérique",50,40,"toile",False,"","https://media.istockphoto.com/id/1473137337/fr/photo/ballerine-en-robe-de-mousseline-rose-saut-fendu-danseuse-de-ballet-en-robe-de-soie-pointes.jpg?s=2048x2048&w=is&k=20&c=4G7MtxBsdLS3QsDJyQLSIc5CIXkgFLa2aZU9xwyR-4M=","portrait",2,True,1,"2024-02-13 12:30:09.042705+00",NULL
5,"Edna Ortiz","photo de Edna Ortiz","2021-12-09","argentique",50,40,"toile",False,"","https://media.istockphoto.com/id/1293643267/fr/photo/statue-antique-3d-de-femme-pierre-cass%C3%A9e-blanche-grec-mod%C3%A8le-romain-de-bont%C3%A9-bouquet-rose-de.jpg?s=2048x2048&w=is&k=20&c=Vp-h3Ybo5O5hWGFV5WbKfpmaUm89SvWmKN_Z4gHtRoE=","paysage",3,True,1,"2024-02-13 12:30:09.042705+00",NULL
56,"Tulipes","Femme devant une fenêtre tenant des tulipes","2024-02-20","Photo",20,40,"Papier brillant",True,"La lumière et les fleurs sont la vie","http://localhost:3000/upload/pexels-tuba-nur-dogan-20240213.jpg","portrait",1,False,1,"2024-02-20 21:08:36.48149+00","2024-02-20 21:08:36.48149+00"
57,"Aurores boréales","Aurores boréales devant une montagne","2020-01-07","Photo",60,20,"Papier brillant",True,"La magie ...","http://localhost:3000/upload/pexels-stein-egil-liland-1933239.jpg","paysage",4,False,1,"2024-02-20 21:11:04.577854+00","2024-02-20 21:11:04.577854+00"
58,"Soleil","Soleil au-dessus des nuages","2020-07-17","Photo",60,20,"Papier brillant",True,"La magie ...","http://localhost:3000/upload/pexels-pixabay-355508.jpg","paysage",5,False,1,"2024-02-20 21:11:46.011215+00","2024-02-20 21:11:46.011215+00"
59,"Arbre","Coucher de soleil centré sur l'arbre","2022-07-29","Photo",60,20,"Aluminium",True,"Le centrage!","http://localhost:3000/upload/pexels-pixabay-36717.jpg","paysage",2,False,1,"2024-02-20 21:12:46.191052+00","2024-02-20 21:12:46.191052+00"
60,"Mariage","Alliances interculturelles","2023-04-21","Photo",60,20,"Papier",True,"Pour le meilleur et pour le pire","http://localhost:3000/upload/pexels-kumar-saurabh-1456613.jpg","paysage",7,False,1,"2024-02-20 21:13:49.63089+00","2024-02-20 21:13:49.63089+00"
61,"Lac","Lac devant les montagnes","2023-05-31","Photo",60,20,"Papier",True,"Le calme...","http://localhost:3000/upload/pexels-bri-schneiter-346529.jpg","paysage",8,False,1,"2024-02-20 21:14:26.285957+00","2024-02-20 21:14:26.285957+00"
